ID	text
16596	"695 - USPS Fairness Act H.Res.119- Expressing that the USPS should take all appropriate measures to restore service standards in effect as of 7/1/2012 H"
19371	 In our nation, diversity makes us stronger. With that strength we must summon our collective humanity to provide a place for refugees, many of whom are women and children, fleeing war and terrorism.
3906	" Serving in Congress is meant to be a public service, not a lifelong career, and I will work to make sure that the new ideas and energy will continue to move our country forward. Click here to learn more about the bills that I introduced and cosponsored. Read my op-ed in USA Today calling for bipartisan reforms in Washington"
8581	 That said, contacting agencies may be more difficult due to furloughed staff, and some communications or updates may be delayed or outdated.QUESTION:Do Veterans receive benefits during a government shutdown?  Yes, VA benefits will continue to be processed and delivered, including compensation, pension, education, and housing benefits.All VA Medical Centers, Outpatient Clinics, and Vet Centers will stay open
17730	"H.R. 4216The Strengthen Financial Aid for Students Act (Strengthening FAFSA) To fortify the Income Protection Allowance and extend lifetime Pell Grant eligibility for students"
2201	 The Congresswoman believes it is vital that our local clean energy manufacturing firms continue to have the tools and resources they need to be competitive in the global clean energy economy, and create new, good paying jobs in the Sacramento region.AccomplishmentsNamed Co-Chair of the Sustainable Energy & Environment Coalition (SEEC) for the 115th, 116th, and 117th CongressesLed a group of 31 colleagues in writing to the Biden Administration to support the creation of a program for indoor air quality and energy efficiency upgrades in our nation’s schools. This became the foundation of her Healthier and Greener Schools Act, which is now law
18925	 This investment is a significant step forward in addressing environmental injustices that disproportionately impact the health, welfare, and economic prosperity of communities of color. The Inflation Reduction Act (IRA) builds on the Bipartisan Infrastructure Law by advancing President Biden’s Justice40 Initiative, which commits to delivering 40% of the benefits of clean energy, climate change, and related federal investments to communities underserved with infrastructure and overburdened by pollution. Every American has the right to live in clean and environmentally safe communities
20332	Prior to being elected to Congress, I spent 28 years as a therapist, rehabilitation services manager and a licensed nursing home administrator. As a result, I've learned firsthand the importance of access to quality healthcare in rural communities and have become a strong advocate for increased access, affordability, quality of care, and patient choice. I came to Washington to help address the many challenges we face in healthcare and advance these same principles
23314	" I also support legislation to keep workers safe on the job by codifying certain industry-recognized safety standards when companies attempt to put profits over people. Expanding Education and Workforce Training For too many people, the barriers to receiving an education or obtaining the skills needed to succeed are insurmountable. I have long advocated for greater funding for community and technical colleges and supported increased investments in paid workforce training opportunities like Registered Apprenticeship programs and work-based learning programs"
17340	 I introduced my Protecting Social Security Act to ensure that seniors today and future generations can rest assured that Social Security will always be there. Among other provisions to protect Social Security, the bill:Permanently prohibits cuts to Social Security and condemns attempts to raise the Social Security age to 69, like those included in the Republican Study Committee’s annual budget proposalProtects Social Security from insolvency by requiring emergency funding from the Treasury Department be used to disperse benefits while Congress votes on a permanent funding source, namely billionaires and corporate monopolies, to fund the Social Security trust fund should it become insolventRestores a Social Security Administration field office to Ulster County by requiring the Administration to operate a field office in every county, ensuring that seniors have easy access to their benefitsI’m also proud to have cosponsored and helped the House pass the Social Security Fairness Act, which will stop the unfair reduction of Social Security benefits for retired public servants and ensure they receive the full benefits they earned. FIGHTING FOR TAX FAIRNESSThat fairness is critical to building an economy that works for everyone
15321	 A federal office is created to collect insurance information. Executive compensation and securitization reforms attempt to reduce incentives to take excessive risks. Intermediaries who provide investment advice to retail investors and municipalities may be subject to a fiduciary duty
4808	 4667, the VISIBLE Act to ensure ICE is held accountable by prohibiting all immigration enforcement officers from wearing non-medical face coverings, requiring them to display their name or badge number and the agency they represent, and mandating DHS to implement disciplinary procedures for agents’ violations of the law. We must also ensure that Members of Congress maintain their ability to conduct oversight at immigration detention centers, which is expressly permitted by law. But, since the beginning of the second Trump administration, I have been unlawfully denied entrance twice when attempting to conduct oversight at these facilities
3098	" This bipartisan bill streamlines access to justice for workers who suffer retaliation for exercising their organizing rights; gives workers the power to override so-called ""right-to-work"" laws that prevent unions from collecting dues from the workers they represent; enhances workers' right to support boycotts, strikes, or other acts of solidarity; authorizes a private right of action for violations of workers' rights; authorizes meaningful penalties for companies and executives that violate workers' rights; closes loopholes that corporations use to erode workers' rights; prevents companies from denying workers' access to justice; requires employers to be transparent with their workers; prevents employers from interfering in union elections; allows workers to hold union elections in a safe environment; and facilitates timely first contracts between companies and newly certified unions by requiring mediation and arbitration to settle disputes. I cosponsored and voted for, and the House passed, H.R"
23672	S. international affairs. I support increasing the number of refugees who are resettled in the U
9133	Despite the budgetary and fiscal climate, it is imperative the security and long-term success of the country is not sacrificed through arbitrary cuts to the military's budget. Our country is a beacon of liberty and freedom with interests across the globe, and there is no doubt non-state actors and foreign governments have interests that are hostile to those of the United States. The United States must stand ready and capable to respond to potential threats
22793	09 | The New York Times | Op-Ed: Keeping the Faith, Ignoring the History02.06.09 | Virginian Pilot | Plan to fund faith-based programs stirs backlash02
16235	"Community Health Centers Community Health Centers provide vital health services to the local community, particularly to those who may not access health care otherwise. In New Jersey, there are 23 federally-funded Health Center organizations that serve 511,947 patients through a combined 144 delivery sites. Congressman Pallone is proud to support community health centers so they may grow and expand"
23500	 Bills such as the Rebuild America’s Schools Act would make a $100 billion investment in upgrading America’s schools. Because federal resources can only be used for school repair costs in cases of disaster, investments in public school construction and maintenance has dwindled, leaving many students without safe and healthy school facilities. I am also an advocate of programs that help prepare students for their next steps after high school such as the TRIO program, which helps students from disadvantaged backgrounds to prepare for and excel in college
4465	 A one-size-fits-all Washington approach does not work for the disparate communities like ours. We must support the development of a personalized, patient-centered healthcare system, including better access to telehealth services. We also need fiscally responsible healthcare policies and commonsense initiatives that empower patients, increase choices, and lower health care costs without reducing benefits
16372	Secured millions of dollars in grants to elevate health care standards in Tribal and rural areas.Supported upgrading public water systems in rural areas for improved safety by pushing for the Water Infrastructure Enhancement Act, Clean Water Actand FLOW Act. Working to bring more doctors and nurses to New Mexico to ensure access to critical care
4976	 We must never allow the events of January 6, 2021, to be repeated, which is why I joined my colleagues on a bipartisan basis in the 117th Congress to overhaul the Electoral Count Act of 1887 and decrease the likelihood of another January 6-like attack on our democracy.Equality ActDiscrimination of any kind is unacceptable, and that includes prejudice against the Lesbian, Gay, Bisexual, Transgender, and Questioning or Queer (LGBTQ+) community that unfortunately still runs rampant nationwide. I know we are better than this, and I know we can do more to ensure a brighter future for everyone, no matter who they love
17488	 I launched the C.A.R
7187	  Student Loan Repayment:The federal pause on student loans ends Aug. 31, 2022. Learn more about repayment options and assistance
21810	Voted in support of the One Big Beautiful Bill which halts forced tax-payer funding of Planned Parenthood and abortions via medicaid.Voted in support of Amendments to the NDAA that roll back Biden’s dangerous and illegal Department of Defense abortion travel policy.Cosponsored the Life at Conception Act (H
13932	 I have led efforts in Congress, including the Choice in Automobile Retail Sales (CARS Act), to prevent the implementation of electric vehicle mandates and ensure that Americans can choose the vehicle that is best suited for their unique needs. I am committed to advancing policies that uphold consumer choice for families across Michigan.Develop and Promote Alternative FuelsWe need to promote a healthier environment and spur the development and deployment of clean energy infrastructure without the ‘pie-in-the-sky' mandates, regulations, and massive federal government spending
5151	 This legislation would provide grants to states to make the first two years of community college completely free. Opening up the door to an education so many Americans want, but many may not have the means to achieve. I am proud to say that this legislation was included as part of the College Affordability Act
13457	 We need to finally ban assault weapons and high-capacity magazines, designate mass shootings as acts of terrorism, and expand safe storage and Extreme Risk Protection Order laws. We need more leaders with the political courage to take action because our kids are dying in our schools and on our streets. I was one of the first lawmakers to refuse to participate in Republican-led “moments of silence” in Congress because the status quo is unacceptable: we need real change
13994	 Additionally, any U.S. foreign policy initiative should protect our freedoms at home and abroad
9583	Congresswoman Cherfilus-McCormick serves on the House Committee of Veterans Affairs. She is committed to ensuring our veterans receive the services and benefits they deserve. In addition, she is deeply committed to increasing public awareness of Veterans Affairs
1518	For more information concerning work and views related to Energy and the Environment, please  contact our office.View information on saving on gas and home energy expenses.
22043	 Crockett defends the belief that a good-paying, fulfilling job is a human right.HousingAs Texas continues to exponentially grow, various housing supply must be created so that all residents can lead the life they want to live, without insurmountable barrier. Congresswoman Crockett is a proponent of an array of housing options, so all adults are able to find, and afford, they home they so choose
21000	 Finally, American entrepreneurs and business owners have a tax system that will make America more competitive on a global scale.For over 30 years, East Tennessee families had less of their paychecks to use as they pleased, and were paying too much in taxes. With the passage of the Tax Cuts and Jobs Act a typical family of four in Tennessee will see a tax cut of just over $2,000
5175	 I am proud of the work I did in the Ways and Means Committee to prohibit health insurance companies from charging women higher health insurance premiums than men. The committee that I sit on, the Ways and Means Committee, is very active on health care issues. Ways and Means is the chief tax-writing committee in the House of Representatives and has jurisdiction over Medicare, Social Security, and social service programs
9323	 It is more important than ever for leaders at the federal, state and local levels to be working together to coordinate resources and strategy.The Ensuring Access to Quality Sober Living Act, which Congressman Bilirakis authored, was signed into law. It established quality standards for providers offering treatment during this important phase of recovery
6791	When I was sworn into Congress, I pledged to support and defend the Constitution of the United States—including the Second Amendment. The Founders understood that the right to keep and bear arms is necessary to the security of a free state, so they drafted the Bill of Rights to ensure that the government did not mess with our sacred liberties. Despite the clarity of the Second Amendment, leftists continue to try and trample on our enumerated rights
21501	" This letter called on the VA to investigate the incident and immediately terminate the employee responsible for this horrific attack.  Every veteran who walks through the doors of a VA facility should be treated with the utmost respect worthy of their service to our country.During the COVID-19 pandemic, Congressman Roy:Introduced the ""Forgotten Vietnam Veterans Act"" that was signed into law by President Trump"
20853	  We have formed coalitions of nations to depose tyrannical dictators that threatened the freedoms and safety of our citizens and allies.  Together with our friends we have drawn attention to humanitarian crises and worked to improve the quality of life in those parts of the world that live in poverty and turmoil.As a senior member of the House Committee on Foreign Affairs, I have the privilege to help address the issues facing our relationships with nations around the world
1576	 They fought so that we could live in the land of freedom and opportunity, and we will forever be in their debt.Despite the many promises we have made to our veterans in return for their service, many still struggle to access care and benefits due to a disappointingly inefficient Department of Veterans Affairs (VA). As reported over the past few years, the VA has fallen woefully short of expectations and simple measures of human decency towards America's best
17544	 The Congressman's staff promptly responded to our request for assistance, contacted the IRS Tax Advocate Services on our behalf, and advocated for our need to expedite review and resolution with professional skill. We greatly appreciate the response we received. Thank you!”- David, Beacon“My 2022 tax return was held up by the IRS for nine months
6229	I passed two amendments and voted for legislation to ensure parents have a say in education curriculum being taught to their children. I played a pivotal role in keeping the Space Command headquarters in Colorado.I helped secure a $5,109,735 grant for the Pueblo Community Health Center
14161	Cutting the Red-Tape for Legal ImmigrationImmigrants who want to join our citizenry should be encouraged and assisted in doing so the same way millions of immigrants have legally done so for generations. We need to create a work permit program that eliminates bureaucratic red-tape and meets the evolving needs of economy, especially our agricultural, educational, and technological sectors. Right now, almost half of the undocumented population are visa overstays, which highlights the difficulty in renewing work visas
18301	Agriculture is a top industry in our state, and North Dakota farmers work tirelessly to feed and fuel the world despite our short growing season and frequent challenges like droughts, floods, and uncertain market conditions. As someone who grew up spending summers on my family’s farm, I have a deep appreciation for the hard work, resilience, and innovation of our farmers and ranchers.  Agriculture is the backbone of our economy and our communities
21315	  I am committed to promoting pro-growth tax policies, cutting federal spending, and removing burdensome regulations.  We must change the trajectory of the national debt before it is too late.
4020	 With this in mind, the efforts of Silicon Valley innovators and engineers will continue to play a key role in pioneering the new technologies that will help protect our environment.To that end, Zoe is committed to working with her colleagues in Congress to find solutions ensuring a clean and healthy environment capable of nurturing and supporting our families and future generations.Click here to learn more about Zoe's thoughts and latest work on Protecting our Environment
10014	 Safeguarding Women’s Sports: As an athlete myself, I understand the time, dedication, discipline, and commitment that it takes to exceed in any sport, for both men and women. I believe strongly in preserving a level playing field for female athletes, and it is unacceptable when biological males are allowed to compete in female-only athletic events. This undermines the hard work and achievements of our outstanding female athletes, and I am determined to bring an end to these unfair, unscientific, and dangerous rules
15669	"However, I think everyone can agree that we must reform the Medicare program because will reach insolvency by 2026. We must reform the Medicare program because it is not solvent in its current form and it will reach insolvency by 2026. However, we also must be sure to keep our promises to those current beneficiaries and those nearing eligibility that have planned their health care needs in retirement around it"
5437	"The Security First Act (H.R. 163) – I am a cosponsor of this legislation which provides additional resources for law enforcement through Operation Stonegarden, a grant program that allows local law enforcement to assist border patrol efforts at the southern border"
9369	 It has already led to the development of a generic competitor for the EpiPen, which was desperately needed as the manufacturer spiked the rate of that life-saving medicine due to lack of competition. To date, Bilirakis's provision has led to the development of more  than 200 various therapies for which there wasn't previously a generic competitor.Additionally, Congressman Bilirakis joined his colleagues last Congress in introducing H
3161	 890, the Gym Mitigation and Survival (GYMS) Act, a bipartisan bill to provide much-needed assistance to gyms, fitness studios, and fitness facilities that have struggled as a result of the COVID-19 pandemic. The GYMS Act would provide $30 billion to the Small Business Administration to disburse grants to eligible fitness businesses. Facilities would be required to certify economic needs and recipients can use funds for expenses such as payroll, rent and mortgage obligations, utility payments, worker protection expenditures, and more
19219	 I believe we must harness American innovation by improving energy efficacy and success, supporting research and basic science labs and widening access to STEM education while building America's STEM workforce.I support the needs of our scientists to continue their research and provide meaningful employment to our communities. In fact, the Fourth District of Oklahoma is the proud home of the National Weather Center, a massive research center that provides facts and predictions regarding the weather and information on emergency preparedness
5286	 The ACA makes Medicare stronger by adding new benefits, fighting fraud, and improving care for patients. And we're already seeing results: So far, 8.2 million seniors have saved more than $11
13100	Regrettably, President Trump has expressed his wish to claw back unobligated funding for housing and rental assistance from the American Rescue Plan Act (ARPA) and the Inflation Reduction Act (IRA). This would include the Emergency Rental Assistance Program (ERAP), Homeowner Assistance Fund (HAF), Affordable Housing Program (HOME-ARP), and Residential Energy Programs. To date, these programs have provided over 800 housing vouchers to Marylanders, brought $55 million in housing grants to Prince George’s County, and put a roof over the heads of hundreds of my constituents
11344	This law lowers premium costs for small businesses and families and, beginning in 2014, provides coverage to over 30 million Americans. It improves quality and helps to eliminate fraud and abuse. It protects and even adds Medicare benefits for seniors and people with disabilities, while expanding access to home- and community-based long-term care services
11016	 This Congress, I re-introduced the Supreme Court Ethics, Recusal, and Transparency Act with Representative Johnson, which would require the United States Supreme Court to develop an ethics code for justices and strengthen recusal standards where judges and justices have conflicts of interest. By taking action now, we can restore Americans’ faith in government and prove to the public that we are worthy of the responsibility they have entrusted us with. Increasing transparency and accountability in government is not only the key to increasing public trust; it is the key to improving the government
17939	 For this reason, I am ardently in favor of expanding school choice to give parents the freedom to choose the best educational path for their children. Whether you choose traditional district public schools, private schools, public charter schools, online schools, or homeschooling, every parent should have an active role in dictating the direction of their children’s education. Simply put, the quality of a child’s education should not be determined by their zip code or financial status
13898	 Unfortunately, many of the policies of President Biden's administration such as canceling the Keystone XL pipeline, suspending new oil and gas leases on federal land and water, and green lighting the Russian Nord Stream 2 pipeline threatened America's energy security, reliability, and affordability.While President Trump has started to reverse course and promote domestic energy production, we need to continue utilizing our nation's abundance of energy resources. At the same time, we must unleash innovation in clean energy technologies, which will keep prices affordable for Michigan families, enhance our national security, and boost domestic manufacturing
7322	 This landmark legislation is directly lowering health costs, including fulfilling his long-time priority of allowing Medicare to negotiate lower drug prices. The Inflation Reduction Act:Lowers Drug Prices through Negotiation – For the first time ever, Medicare will be empowered and required to negotiate lower drug prices. Beginning in 2026, the first ten drugs selected for negotiation will see a price reduction of 39% to 79%, resulting in a collective $1
19984	 They are expected to be offered to consumers this fall. Learn more about these plans here.Voted in support of the Increasing Access to Lower Premium Plans and Expanding Health Savings Accounts Act (H
11211	 ___________________________________________________________________________________________________________________________________________________________________Energy Efficient Home Improvement: 25C (Up to $3,200 Available Now)DESCRIPTIONThe Inflation Reduction Act significantly expands and extends the 25C tax credit, now known as the Energy Efficient Home Improvement Credit. Previously, this tax credit was limited to 10% of your project costs but is now increased to up to 30% and available on an annual basis. After January 1, 2023, qualified energy-efficient improvements to your home may qualify you for tax credits worth up to $3,200
3388	"I cosponsored H.R. 151, the Preventing Future Pandemics Act, a bipartisan bill directing the State Department to work with international partners to shut down commercial wildlife markets, end the trade in live wildlife for human consumption and stop the associated wildlife trade, end the import, export and sale of live wildlife for human consumption in the United States, and phase out demand for wildlife as a food source"
9670	As a Member of Congress, Congresswoman Wilson is deeply committed to protecting Social Security. This means she will vote against any measure to privatize the program, cut benefits, or increase the eligibility age. As a core commitment, Congresswoman Wilson believes Social Security recipients should be entitled to maintain their purchasing power
12061	" I will continue working to: Lower out-of-pocket costs for seniors Expand access to prescription drugs and preventive care Oppose efforts to privatize or cut Medicare benefits Lowering Prescription Drug Prices Skyrocketing prescription drug prices are placing an enormous burden on Hoosiers. While medical research and innovation are critical, pharmaceutical companies should not put profits over people. That’s why I support policies to: Allow Medicare to negotiate drug prices Increase transparency and accountability in drug pricing Expand access to generic and lower-cost alternatives Support the Safe Step Act, which improves access to needed medications by reforming ""step therapy"" policies Investing in Medical Research & Innovation Scientific advancements in medicine save lives, and I am committed to ensuring that Indiana remains a leader in biomedical research and innovation"
3306	" 3053, the American Coasts and Oceans Protection Act, to prohibit any new leasing for the exploration, development, or production of oil or natural gas along the Southern California coast, from San Diego to the northern border of San Luis Obispo County. I cosponsored H.R"
8276	R. 748 is an important opportunity for Congress to support high-quality health care and the employers that provide it. In recent years, deductibles in ESI plans have risen considerably while costs have continued to grow
23468	"This crisis has had a devastating effect on public health and safety in communities across the United States. According to the Centers for Disease Control and Prevention (CDC), drug overdose deaths now surpass traffic crashes in the number of deaths caused by injury in the U.S, with an average of 120 drug related deaths per day in 2014"
16979	Reproductive rights are human rights. Congressman Goldman will always fight to restore abortion rights through legislation such as the Women’s Health Protection Act. As reproductive freedoms remain under attack across the country, Goldman is fighting to expand access to abortion care, reproductive health care, contraceptives, and other family planning services for all
9705	 Today, over half of the girls have been released from Boko Harem, but the religious persecution and trauma they experienced at the hands of these terrorists will be with them forever. Congresswoman Wilson will continue to stand against organizations that attempt to take away religious and personal freedoms and work for the safe return of the Chibok girls who continue to undergo oppression at the hands of Boko Harem.TaiwanIn 2015, Congresswoman Wilson had the privilege to visit Taiwan and meet with President Ma Ying-jeou to discuss the government’s efforts and achievements in promoting Republic of China and US relations and cross-strait ties as a member of the Congressional Taiwan Caucus
5356	America's agricultural industry is one of the most capable in the world and their ability to compete and thrive depends on the freedom for them to produce in a fair marketplace and without being severely hindered by conditions beyond their control. Americans need their government to ensure that they will continue to have an affordable, safe and reliable food supply.
8391	 At the same time, our infrastructure, the lifeblood of any economy, is crumbling with the American Society of Civil Engineers noting that, among other things, 35% of Connecticut’s bridges are structurally deficient or functionally obsolete, 47% of our major roads are in poor or mediocre condition, and we need an investment of $653 million over the next 20 years in our drinking water infrastructure.Rosa’s plan aims to create jobs now and well into the future; preserves existing jobs and prevents unjust barriers to employment; builds the foundations for long-term growth by rebuilding our infrastructure and reviving the manufacturing sector; and helps working families to ensure they get the pay and benefits they deserve. Support for small businesses, innovative research and education is critical to creating jobs
13482	"By promoting good jobs, strengthening workers' rights, and protecting programs like Social Security, Medicare, and Medicaid, we can help keep the American Dream alive. We need to invest not just in higher education, but also in career and technical education, small businesses, and our social service programs. As the national security threats we face and the dangers of the climate crisis pile up, we need to take this opportunity to invest in the middle and working classes to create millions of jobs on our shores and foster an economy where everyone plays by the rules and pays their fair share"
21775	For too long, our healthcare system has focused on treating chronic illness instead of preventing it. That’s why we support the MAHA Commission as it works to uncover the root causes of chronic disease and address them directly. We are committed to protecting and strengthening Medicare and Medicaid by cutting waste, fraud, and abuse so these programs serve those who truly need them—our seniors and the most vulnerable—not able-bodied adults or illegal immigrants
13565	 Michigan farmers work from dawn to dusk to put food on tables in our communities and all across the world. During the challenging economic times that have plagued the Michigan economy, the steady growth of our agricultural sector has kept our economy afloat. To maintain this edge, I believe we must:Protect our FarmlandMichigan’s farmers know better than most the importance of protecting our land for generations to come
2085	 Cummings Lower Drug Costs Now Act. The landmark legislation empowers the federal government to negotiate the price of prescription drugs and caps Medicare beneficiaries’ out-of-pocket costs. The House-passed legislation stops drug companies from ripping off Americans while charging other countries less for the same drugs by limiting the maximum price for any negotiated drug and making the lower drug prices negotiated by Medicare available to Americans with private insurance
20743	 We will champion policies that lower taxes, alleviate the high cost of living, and provide meaningful change to American families. In our office, the Lowcountry will always come first, as we strive to uphold the values and principles that make our nation great.For more information concerning work and views related to Jobs and the Economy, please contact our office
11261	 I remain committed to ending this shutdown by working with both parties to ensure critical Affordable Care Act (ACA) tax credits remain in place to prevent insurance premiums from spiking and to reopen the government as soon as possible.What This Means for YouMany constituents have reached out asking how the shutdown affects our community. Here’s what you need to know:Federal agencies have furloughed staff, which may slow or suspend services
8762	R. 2213, bipartisan legislation to permanently extend the work opportunity tax credit.Advocated for the bipartisan New Markets Tax Credit Extension Act of 2019, which would spur increased investments in underdeveloped markets
1777	Unfortunately, federal bailouts and burdensome regulations have created a climate of uncertainty, and the volatility is a direct consequence of these misguided policies. The Dodd-Frank Act created massive new government bureaucracies that give too much authority to federal regulators. Dodd-Frank should be repealed so we can rein in federal bureaucrats and regulations that pose a threat to our economic recovery
1905	 We must be prepared for the next disaster. I strongly support resiliency investments and am working hard to ensure citizens in our district and across the country can protect their homes, which is often their most valuable asset. I have introduced legislation that would provide a tax credit to homeowners who invest in disaster mitigation activities to protect their homes to make these protective measures more affordable
15072	" To learn more about Homeland Security and First Responders issues and to view my voting record, please click on the links below. Committee on Homeland Security: https://homeland.house"
7498	 In 2024, he secured language in the annual defense funding bill barring the use of federal funds for an alternative engine,  effectively shutting down the latest effort to steal Connecticut jobs.  Defeating the Alternative Engine remains one of Congressman Larson’s most significant accomplishments because of what it means for our state and our skilled manufacturing workforce. Pratt & Whitney, based in East Hartford and Middletown, is now the only engine supplier for the Joint Strike Fighter program
13057	 These violations of due process are not accidental. They are deliberate actions that undermine the rule of law. According to the Cato Institute, dozens of Venezuelan migrants who arrived in the United States legally and never violated immigration laws were still detained, deported, and imprisoned in El Salvador
18425	Sponsor of the Social Security Fairness Act to end the Government Pension Offset and Windfall Elimination Provision in Social Security.Supports the Rehabilitation for Multiemployer Pensions Act to shore up the multi-employer pension system.Read more below, or please contact my office for more information concerning my work and views on Seniors' Issues
20606	 A-K Valley - Police River Patrol Boat - $125,000The Allegheny Valley Regional Police Department is seeking funding to purchase a law enforcement watercraft for the protection of the residents of the three communities along the Allegheny River that is within their jurisdiction.The entity to receive funding for this project is the Allegheny Valley Regional Police Department, located at 100 Plate Drive, Harwick, PA 15049.Click HERE to read the required financial disclosure letter
23542	 Five key provisions of the law came into effect at the start of 2014: the individual mandate; pre-existing condition coverage; employer mandate; subsidies; and online health insurance exchanges.  Further, the law enhanced the quality of healthcare for those on Medicare and disallowed health insurance providers from denying individuals coverage based on preexisting conditions. It closed the Medicare drug coverage gap known as the “donut hole” and allowed recent college graduates to remain on their parent’s health insurance plan
12836	H.R. 2550, the Protect America's Workforce Act, seeks to safeguard the benefits promised to federal workers
18857	  In the 118th Congress, I am a proud cosponsor of the Equal Pay Day Resolution and the Paycheck Fairness Act to recognize the significance of equal pay and the disparity between wages paid to men and women. As a leader in the Democratic Women’s Caucus, I continue to fight for the basic principle of equal pay for equal work and will not rest until we end the wage gap once and for all.  LGBTQI+ In the 117th Congress, I proudly cast my vote to safeguard marriage equality in the Respect for Marriage Act, recognizing the validity of same-sex and interracial marriages while also prohibiting state officials from discriminating against such couples
20334	 I came to Washington to help address the many challenges we face in healthcare and advance these same principles.On March 25, 2010, Congress passed sweeping legislation that seeks to fundamentally realign our nation's health care system. This massive health care overhaul—a remake of one-sixth of our economy—will exacerbate the very problems this reform effort sought to address
16708	" 1123 – Veteran Suicide Prevention Act H.R. 1273 – Vietnam Veterans Liver Fluke Cancer Study Act H"
11041	"Criminal Justice Reform As a defense attorney, I witnessed the inequities in our justice system firsthand. From mandatory minimums to the school-to-prison pipeline, the criminal justice system is one of many systems in our country that perpetuate cycles of inequity. There should not be separate justice systems for those born rich or white and another for those who are born Black or poor"
14052	607 - Condemns President Biden's failure to heed the advice of military and intelligence advisors about the speed and nature of the Taliban offensive, leading to a disorganized, chaotic, and abrupt evacuation of United States personnel and Afghan allies.07/21/2021 – Cosponsor: H.R
18251	For more information concerning my work and views on National Security issues, please contact our office. Thank you.
21881	 Robust and modernized mechanisms for public participation and environmental cooperation. Bolster US-Mexico efforts to combat trade in illegally taken wildlife, fish and timber. Prohibitions on some of the most harmful fisheries subsidies New protections for marine species like whales and sea turtles, including a prohibition on shark-finning and a commitment to working together to protect marine habitat
14245	  Additionally, there has been an increasing presence of heroin and opioid abuse in Michigan which has sadly led to numerous overdoses and deaths. As a member of the Bipartisan Heroin Task Force, I’ve been working with my colleagues to foster awareness, develop best practices, and promote collaboration to address problems associated with heroin addiction. In October 2018, the President signed into law, the SUPPORT for Patients and Communities Act, a series of legislative solutions to fight the crisis our country is currently facing
19488	 Embassy officials and local human rights advocates. As a critical care physician, she’s trained to act in moments of crisis—and she continues to do so in defense of our constitutional rights. She is sounding the alarm on a broader constitutional crisis: the Trump administration is detaining children, arresting judges, and denying immigrants and legal residents their right to due process
4644	 Most recently, he worked to make the Honoring our PACT Act become law. Included in the landmark package are his three bills that will assist over 3.5 million veterans in obtaining the health care they’ve earned, deserve, and desperately need
20171	 Due to the region's history, the U.S National Park Service recognizes northwestern Pennsylvania as the Oil Region National Heritage Area.With this history in mind, oil and gas production continues to be a major economic engine in the ANF and surrounding areas
