Unique Data Point ID	Label	Content
9594	Loaded Language	This legislation would provide comprehensive health care to every American with no premiums, co-payments or deductibles, expanding coverage to dental, hearing and vision services and allowing every American the freedom to choose their doctors without bureaucratic red tape getting in the way. With costs rising more every day, high insurance premiums and medical costs are becoming unreasonable for the middle and lower class to keep up with. We need health care policy reform to address this gap and to continue the fight for affordable health care for all Americans.
13554	Name Calling	That is why I am fighting for smarter, pro-growth policies that get government out of the way and help small businesses expand and hire new workers. In fact, I have supported overturning numerous regulations written by unelected bureaucrats who do not understand the negative consequences of the rules they wrote. Michigan has a talented workforce and world-leading manufacturing base, and we can keep it that way by promoting opportunities in the skilled trades.
8176	Appeal to fear	American College of Emergency Physicians: “Nearly every emergency physician has been assaulted or threatened on the job and the problem is only getting worse. Health care workers should be able to focus on saving lives without fearing for their safety. ACEP is deeply grateful to Rep. Courtney and Sen. Baldwin for their work to protect emergency physicians and ensure that we can continue to fulfill our promise to care for anyone, anytime.” said Alison Haddock, MD, FACEP, President.
5074	Name Calling	It would simply require that millionaires and billionaires pay the same Social Security taxes as everyone else.  Fighting for Health Care Congressman Sherman voted against the Republican cuts to the federal health insurance program in the “One Big Ugly Bill” recently signed by President Trump. The recently passed changes will force an estimated 17 million Americans to lose their health care coverage and targets Medicaid funding by creating a web of new limits on state funding and increasing patients’ out-of-pocket spending.
14052	Loaded Language	607 - Condemns President Biden's failure to heed the advice of military and intelligence advisors about the speed and nature of the Taliban offensive, leading to a disorganized, chaotic, and abrupt evacuation of United States personnel and Afghan allies.07/21/2021 – Cosponsor: H.R
16162	Loaded Language	An oil spill would have devastating effects on New Jersey's coastal economy and environment. He has introduced the COAST Anti-Drilling Act, which would permanently ban offshore drilling in the Atlantic. He also has introduced the BEACH Act, which would impose new water quality testing and public notification standards so beachgoers are better protected and informed about the safety of their beaches.
3454	No Propaganda	R. 5723, the Social Security 2100 Act, to increase benefits for all recipients by about 2 percent; improve the annual COLA formula to better reflect the costs incurred by seniors; set the new minimum benefit at 25 percent above the poverty line and tie it to wage levels to ensure that the minimum benefit does not fall behind; improve benefits for widows and widowers in two-income households; repeal the Windfall Elimination Provision (WEP) and Government Pension Offset (GPO) that currently penalize many public servants; end the 5-month waiting period to receive disability benefits; provide caregiver credits to ensure that caregivers are not penalized in retirement for taking time out of the workforce to care for children or other dependents; extend benefits for students through age 22; and increase access to benefits for children who live with grandparents or other relatives. Presently, payroll taxes are not collected on wages over $142,800; this bill would apply the payroll tax to wages above $400,000, a provision that would only affect the top 0.4% of wage earners.
1576	Loaded Language	They fought so that we could live in the land of freedom and opportunity, and we will forever be in their debt. Despite the many promises we have made to our veterans in return for their service, many still struggle to access care and benefits due to a disappointingly inefficient Department of Veterans Affairs (VA). As reported over the past few years, the VA has fallen woefully short of expectations and simple measures of human decency towards America's best.
10171	No propaganda	Congressman Jackson has been working to build an economy that prioritizes equitable growth and opportunity. He believes it is a duty to advance the economic interests and not the interests of billionaires. During his first term in office, he supported measures to fight inflation, raise the minimum wage, and support small businesses.
2284	No Propaganda	The Congresswoman will continue to fight to ensure that our veterans have access to the highest quality healthcare. Congresswoman Matsui believes that providing mental health support to our nation’s veterans is of the utmost importance. To this end, she voted to pass the Clay Hunt Suicide Prevention for American Veterans (Clay Hunt SAV) Act, H.R. 203, which aims to prevent veteran suicide and increase access to quality mental health care to our nation’s veterans.
20781	Appeal to fear	Our region and our state depend on the conservation of nature to grow and prosper. I’m committed to keeping oil rigs off our coast permanently to ensure South Carolina will never experience the crippling devastation others have and that we do all we can to protect our environment and wildlife. For more information concerning work and views related to Offshore Drilling, please contact our office.
11706	No propaganda	Serving as a local meteorologist for over 20 years required me to be a trusted neighbor to the people in Central and Northwestern Illinois. In Congress, I’m still working to be a trusted voice for the people of Illinois’ 17th District. That means being willing to work with anyone – Republican or Democrat – to make sure everyone in my District has their needs met.
15643	Name Calling	I'll continue to work with the support of my western colleagues to pass legislation to help Nevada leverage its vast public lands, while preserving our unique landscape and way of life. In these efforts, I am always cognizant of the importance of water rights and multi-use access. Common sense federal solutions to our public land designations are possible, but local communities must have a seat at the table to overcome the "Washington knows best" mentality that routinely ignores the best interests of local stakeholders
3602	No propaganda	I wrote several portions of H.R. 1, including 1) clarifying that operating fake polling places or drop boxes to prevent another person from registering to vote is a serious federal crime; 2) putting Congress on record opposing efforts to intimidate or engage in deceptive practices to dissuade students from exercising their right to vote; and 3) requiring schools to make voting information more accessible to students online and through social media. I'm an original cosponsor of, voted for, and the House passed, H.R. 4, the John R. Lewis Voting Rights Advancement Act of 2021 (117th), to strengthen the Voting Rights Act of 1965 - which was weakened by a pair of Supreme Court rulings over the course of the last decade - to limit states from restricting voting access.
21983	Loaded Language	Congresswoman Garcia works diligently to ensure that the law protects every person, and she is a champion for reproductive justice and will continue the fight to secure the rights for our most marginalized communities. Women’s Equality Below are a few examples of how the Congresswoman has worked in Washington, D.C. to make sure that women have strong voices back in Texas’ 29th Congressional District: The Congresswoman proudly introduced the Stop Shackling and Detaining Pregnant Women Act in November 2023.
23847	Loaded Language	A strong economy is essential for a successful nation. In recent years, we have seen skyrocketing inflation rates, record-breaking gas prices, increased tax rates, and an unstable supply chain, all of which have made it more difficult for folks to provide for their families. The broken budget process in Washington has made it incredibly difficult to identify areas of wasteful and duplicative spending.
6696	No propaganda	This important project will create 400,000 acre-feet of new water storage, generate $535 million in local spending, and create 360 new jobs. The project will provide a critical water supply, as well as protect and stimulate rural development, including agriculture, for present and future water users. It will also foster new employment, income, business generation, and tax revenues to Northwest Colorado.
3161	No propaganda	890, the Gym Mitigation and Survival (GYMS) Act, a bipartisan bill to provide much-needed assistance to gyms, fitness studios, and fitness facilities that have struggled as a result of the COVID-19 pandemic. The GYMS Act would provide $30 billion to the Small Business Administration to disburse grants to eligible fitness businesses. Facilities would be required to certify economic needs and recipients can use funds for expenses such as payroll, rent and mortgage obligations, utility payments, worker protection expenditures, and more.
6334	Loaded Language	I passed an amendment through the House that redirected funding from DHS bureaucracy to fund CBP fentanyl detection at Border Patrol Checkpoints and prevent fentanyl from entering America. I passed an amendment through the House that redirected funding from DOE bureaucrats to the Upper Colorado River Basin Development Fund for Colorado River Dam Fund to increase water storage. I passed an amendment through the House that redirected $4 million dollars from DOE bureaucracy to the Colorado River Storage Project to help combat water shortages in the West.
19204	Loaded Language	Investments in water infrastructure are critical to ensuring the availability and affordability of this critical resource. Doing so will ensure that water resources across the state are managed in a way to meet both our present needs and those of the many generations to come. THE MISGUIDED GREEN NEW DEAL Regardless of political points of view, most Americans can agree that good stewardship of the earth and its precious resources is important.
14245	Loaded Language	Additionally, there has been an increasing presence of heroin and opioid abuse in Michigan which has sadly led to numerous overdoses and deaths. As a member of the Bipartisan Heroin Task Force, I’ve been working with my colleagues to foster awareness, develop best practices, and promote collaboration to address problems associated with heroin addiction. In October 2018, the President signed into law, the SUPPORT for Patients and Communities Act, a series of legislative solutions to fight the crisis our country is currently facing.
2880	Loaded Language	At the same time, we must work to reduce the achievement gap, create opportunities for students to attain higher education, and make sure that we have the best trained, most qualified teachers in the world. In strengthening our education system, we will create a thriving, 21st century workforce that will lead emerging industries and ensure America remains a leading economic power on the world stage.  WHAT DEMOCRATS ARE DOING Early Education Early childhood learning programs have proven to be one of the most valuable investments in our children's future, dramatically increasing their ability to succeed later in school and in life.
6296	No Propaganda	I passed an amendment through the House that prohibited bonuses for senior executive service employees at the Internal Revenue Service. I secured $279.26 million into federal law for Bureau of Reclamation projects and rural water projects, including the Arkansas Valley Conduit that will provide an abundant supply of clean water for 50,000 people in Southeastern Colorado. I secured $703 million into federal law for counter-narcotics support, including an additional $50 million for programs to counter illicit fentanyl and synthetic opioids.
4250	No Propaganda	Under the American Recovery and Reinvestment Act (ARRA), she supported the largest clean energy investment in American history which has helped our country nearly double our renewable power generation since 2008. Reducing our Greenhouse Gas Emissions Zoe has supported efforts to reduce greenhouse gas emissions and increase efficiency standards for cars, trucks, and buildings. By increasing efficiency, we can reduce overall consumption and slow emissions that lead to climate change.
6919	Loaded language 	Permanently altering and disabling the physical bodies of children is never ok—and it is especially deplorable when done to gain cheap political points with the radical left. I introduced the Protecting Our Kids from Harmful Research Act to prohibit tax dollars from funding Dr. Fauci’s National Institute of Health’s studies on sex change, sterilization, chemical castration, and puberty-blocking procedures for minors suffering from gender dysphoria. Using psychologically vulnerable children as lab rats for life-altering sterilization procedures and genital mutilation is wrong, and it should be illegal.
21557	Name Calling	My bill, H.R. 7129, the Put America on Commission Act of 2024, passed out of Committee, which maximizes recovery efforts for fraudulent pandemic loan funds. My bill to hold fraudsters accountable by prohibiting individuals convicted of defrauding the Government from receiving any future assistance from the SBA (H.R. 5427), passed the House of Representatives on November 28, 2023. The House passed my bill, H.R. 1606, the Veteran Entrepreneurship Training Act of 2023, which provides a path to help veterans begin their entrepreneurship journey in starting a small business through the Boots to Business program.
16583	No propaganda	Investment to fix New York’s roads and transit systems will add an additional $6.72 billion to the State’s Gross Domestic Project (GDP) each year, and increased economic activity will benefit New York residents. Disposable Income is projected to increase by $2.76 billion each year, an average of $357 per household. As a pro-jobs and pro-growth elected official, investing in our region’s infrastructure is the best way to stimulate Long Island’s economy, create jobs, and improve the safety and livelihoods of all Long Islanders.
7278	Loaded language 	My Grandpa Chavez gained his American citizenship by serving in World War II. I served 12 years in the Army - including a combat deployment to the Middle East - the Colorado Army National Guard as a UH-60 Black Hawk helicopter pilot, and as an Arvada police officer.  Military: After serving in the War on Terror, I strongly believe we can be doing more to strengthen our military.
18105	Loaded Language	Our veterans followed through on their promise to defend our country. Now, we must ensure we keep every promise made to them and their families for their service. I truly consider this my most sacred honor as your voice in Congress.
12388	No propaganda	I also worked across the aisle to bring USDA’s Economic Research Service (ERS) and National Institute of Food and Agriculture (NIFA) offices to the Kansas City Metro region, bringing an estimated 700 good-paying federal jobs to our area. Sustainable food systems: A healthy food system needs to work for producers, consumers, and the environment—it’s a matter of economic strength and national security. Investing in local food production, conservation, nutrition programs, and our state’s strong legacy of ag research helps ensure Kansas’ agriculture industry can succeed for generations to come.
